url_length,domain_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_at_signs,num_slashes,num_equals,num_ampersands,num_percent,num_question,digit_ratio,letter_ratio,url_entropy,domain_entropy,num_subdomains,has_https,has_ip,has_port,has_at_sign,has_double_slash,domain_has_digit,too_many_subdomains,suspicious_tld,n_suspicious_keywords,has_suspicious_keyword,has_brand_in_domain,brand_impersonation,domain_age_days
33,13,7,0,4,0,0,0,3,0,0,0,0,0.4545,0.2727,3.9912,2.8731,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
32,12,7,0,4,0,0,0,3,0,0,0,0,0.4375,0.2812,3.8636,2.3554,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
21,4,5,0,1,0,0,0,3,0,0,0,0,0.0,0.7619,3.6538,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
31,6,0,12,1,0,0,0,2,1,0,0,1,0.0,0.8065,4.2445,2.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
35,15,7,0,4,0,0,0,3,0,0,0,0,0.4857,0.2571,4.036,2.7396,0,0,1,1,0,0,1,0,0,0,0,0,0,-1
39,13,19,0,4,0,0,0,4,0,0,0,0,0.3077,0.4615,4.0285,2.2878,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
24,3,9,0,1,1,0,0,3,0,0,0,0,0.0,0.75,3.7406,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
41,17,6,0,1,0,0,0,3,0,0,0,0,0.0,0.878,3.8604,3.1307,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
35,3,21,0,1,0,0,0,5,0,0,0,0,0.1429,0.6571,4.0472,1.585,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
42,9,5,0,2,0,0,0,3,0,0,0,0,0.0238,0.8333,3.9571,2.9477,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
31,8,11,0,1,1,0,0,4,0,0,0,0,0.0,0.7742,3.7442,2.1556,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
47,8,27,0,1,2,0,0,5,0,0,0,0,0.1277,0.6809,4.3901,2.4056,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
53,13,33,0,4,0,1,0,4,0,0,0,0,0.3774,0.434,4.4473,2.6032,0,0,1,0,0,0,1,0,0,0,0,0,0,-1
45,11,22,0,1,1,0,0,5,0,0,0,0,0.1333,0.6889,4.17,3.0272,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
